Palabra,Frecuencia,Sentimiento_Promedio
apple,584,1.0
quality,287,1.0
android,211,1.0
spotify,192,1.0
audio,170,1.0
experience,169,1.0
works,151,1.0
sound,141,1.0
lossless,121,1.0
listen,96,1.0
library,87,1.0
streaming,81,1.0
listening,77,1.0
devices,70,1.0
playlists,68,1.0
play,62,1.0
phone,61,1.0
iphone,58,1.0
download,55,1.0
service,55,1.0
simple,53,1.0
interface,47,1.0
atmos,47,1.0
easy,45,1.0
free,45,1.0
user,43,1.0
dolby,42,1.0
subscription,42,1.0
apps,40,1.0
years,39,1.0
playlist,38,1.0
month,37,1.0
available,37,1.0
sounds,37,1.0
search,36,1.0
find,35,1.0
adds,34,1.0
radio,34,1.0
back,33,1.0
stations,33,1.0
looking,33,1.0
update,33,1.0
clean,33,1.0
perfectly,32,1.0
without,31,1.0
favorite,30,1.0
artists,30,1.0
platform,30,1.0
samsung,30,1.0
smoothly,30,1.0
work,30,1.0
lyrics,29,1.0
high,29,1.0
seamlessly,28,1.0
device,28,1.0
across,28,1.0
siri,27,1.0
voice,27,1.0
feature,27,1.0
suggestions,27,1.0
syncs,27,1.0
features,27,1.0
album,27,1.0
playing,26,1.0
google,26,1.0
stable,26,1.0
commands,26,1.0
looks,25,1.0
recommend,25,1.0
curated,25,1.0
option,24,1.0
worth,24,1.0
regular,24,1.0
amazon,24,1.0
personalized,24,1.0
mixes,23,1.0
support,23,1.0
managing,23,1.0
tidal,23,1.0
hires,22,1.0
issues,22,1.0
youtube,22,1.0
powerful,21,1.0
switched,21,1.0
itunes,21,1.0
issue,21,1.0
bugs,21,1.0
player,21,1.0
price,21,1.0
application,21,1.0
services,21,1.0
trial,20,1.0
premium,20,1.0
artist,20,1.0
smooth,20,1.0
integrates,19,1.0
made,19,1.0
found,19,1.0
polished,19,1.0
version,19,1.0
selection,19,1.0
recommendations,18,1.0
payment,18,1.0
compared,18,1.0
spatial,18,1.0
users,17,1.0
headphones,17,1.0
offline,17,1.0
recently,16,1.0
fixed,16,1.0
working,16,1.0
india,15,1.0
stars,15,1.0
platforms,15,1.0
world,15,1.0
create,15,1.0
hear,15,1.0
havent,15,1.0
family,15,1.0
account,15,1.0
problems,14,1.0
beats,14,1.0
trying,14,1.0
options,14,1.0
however,14,1.0
loved,13,1.0
others,13,1.0
getting,13,1.0
edit,13,1.0
albums,13,1.0
life,13,1.0
switch,13,1.0
come,13,1.0
glad,12,1.0
product,12,1.0
downloaded,12,1.0
sure,12,1.0
people,12,1.0
algorithm,12,1.0
help,12,1.0
gives,12,1.0
heard,12,1.0
improve,12,1.0
little,12,1.0
plan,11,1.0
plays,11,1.0
provides,11,1.0
year,11,1.0
galaxy,11,1.0
open,11,1.0
