reviewId,review,score,gender,location,date
4430,please add umobile to pay the sub i need it,3,male,"Paris, France",2014-11-02
4438,everything about Spotify is super but please please Do not play any horror ad at night time. its very disturbing. please rectify it. i would have given 5 star but the horror podcast at and sounds are very pathetic specially at the time when you are trying to sleep peacefully and suddenly you wake up to horror pathetic sounds. please stop doing that its a request.,3,male,"Marseille, France",2014-11-19
4445,Crashing,3,male,"Hamburg, Germany",2014-12-24
4499,nice experience but tired of ads,3,male,"Zurich, Switzerland",2014-10-27
4506,"quite decent, those 30 minutes of no ads are always nice, but the constant asking for Spotify premium does get annoying, also the mobile version is absolute garbage.",3,male,"Oslo, Norway",2014-12-01
4527,it's greaaaat,3,male,"Helsinki, Finland",2014-11-21
4535,"I've always listened to my music on Spotify, I think this is actually one of the best music apps. However, I would like to criticise the fact that users can't choose in what order they want to listen to the songs. It would be 10 times better if you let us do it because personally, I would enjoy being able to choose how to listen to my music. The limited skips are a little bit annoying but they're still acceptable.",3,male,"Paris, France",2014-12-20
4574,It's n amazing app,3,male,"Brussels, Belgium",2014-12-14
4611,Lags like I'm on a tablet. I'm on an S23. Good app. the features are getting old but they're good.,3,male,"Warsaw, Poland",2014-10-30
4652,I like it,3,male,"Berlin, Germany",2014-10-31
4690,"use this app DAILY, love listening to music, have had premium for over 4 years. i need them to add a feature to hide album or single covers from my home page. i have a strong phobia of bugs, and sometimes artists like to use bugs for their cover. i cannot get rid of the picture and it makes it really difficult to use the app for myself.",3,male,"Krakow, Poland",2014-12-15
4710,"i use this app so much but atp, i started to feel like everything needs money. i have premium but when i dont, it feels like hell, i cant skip the song, cant listen whatever i want. im not even talking about those ads, but i CANT listen the song? its so annoying. i searched for a better app but all my favorite songs etc. are on my spotify account and i cant make playlists and like all of those songs again.",3,male,"Geneva, Switzerland",2014-12-15
4729,"it's good app overall, but please can you make the android tablet display looks like in the web/windows app",3,male,"Frankfurt, Germany",2014-11-25
4818,Spotify is not working from last few days whenever I play the song.. 1st there are 2 ads then the songs ar automatically forwarded. And all the playlists blank. please solve this problem.,3,male,"Edinburgh, United Kingdom",2014-10-20
4901,"The app is good, but why am i seeing a woman shaking her behind? (its not in a song cover)",3,male,"Rome, Italy",2014-12-17
4913,"In general I love it, BUT since the last update I'm having problems with it. The music keeps pausing and cutting out randomly. Some of it may be when I receive a notification on my phone, but most of the time I can't find anything to explain it.",3,male,"Prague, Czech Republic",2014-11-03
4946,"it's nice, the songs are ok it recommends songs according to my taste but my only problem is if I like a song I can't click on it to play it, or when I created a playlist I can't go to a particular song I have to listen to all of it and it's kinda frustrating",3,male,"Stockholm, Sweden",2014-10-19
4962,"I still dunno how to get the 'eat your playlist' feature n it's been 2 years, has it been removed or smth ☹️☹️💔",3,male,"Lisbon, Portugal",2014-12-12
4970,Very good,3,male,"Geneva, Switzerland",2014-10-19
5002,This is a good app for listening music but I think you should decrease the amount of ads in Spotify. And there's a problem with following and the followers. I have followed two peoples but it is showing 13 following and the persons whom are being followed by me they can't see that they have one extra follower. And I have 2 followers but it's showing 1. How can it be possible. I think you should remove this bug from Spotify. It makes confusion and irritates. I think you should have a updated.,3,male,"Oslo, Norway",2014-12-18
5012,"Because you can't loop on the phone,it deserves 3 stars. Although the music was great (because we picked it) I think putting loop back on devices that lost that privilege would bump my rating to 5 stars.",3,male,"Dublin, Ireland",2014-11-15
5022,blocked artist are still being played. pls fix,3,male,"Edinburgh, United Kingdom",2014-11-04
5042,it's OK but if you try and listen to a complete album it adds random songs to it .,3,male,"Budapest, Hungary",2014-11-18
5057,why I can't view the lyrics!!! Every time I view the lyrics it always goes back home.....!!!!,3,male,"Munich, Germany",2014-11-28
5067,it's good because you can listen every song 😊,3,male,"Dublin, Ireland",2014-12-27
5071,"Okay, so I love this app. It's been a lifesaver a few times on long car trips with the offline mode (I have premium), but lately it's been sending me back to the top of every playlist I have. Which wouldn't be awful- if I wasn't 300+ songs deep. I've been waiting for months for a fix and tried the uninstall/reinstall thing. I just wanna enjoy my trenches without being rocketed to the top every time I turn the screen off.",3,male,"Edinburgh, United Kingdom",2014-11-16
5083,I don't why but Spotify deleted some music to my favourite playlist,3,male,"Valencia, Spain",2014-12-25
5092,"Several years ago, I would give 5 stars. Unfortunately, now more and more unnecessary features are forced onto users instead of smoothing app performance.",3,male,"Athens, Greece",2014-11-20
5098,cool,3,male,"Hamburg, Germany",2014-10-20
5114,unsure about the premium yet I don't think that 15 is a month will be enough 4 me,3,male,"Krakow, Poland",2014-11-16
5132,How long is the bug for the playlist positioning when re-opening the app gonna stay? It's really annoying having to scroll from the top to the buttom each time...,3,male,"Copenhagen, Denmark",2014-12-20
5147,frustrated when premium expired,3,male,"Stockholm, Sweden",2014-11-25
5205,"when i skip forward, one song plays. e.g 'fuel' and if i skip back to the previous song then skip forward again its a different song. fix please",3,male,"Brussels, Belgium",2014-12-31
5275,Nice app,4,male,"Marseille, France",2012-02-28
5276,best for music all songs are getting here,4,male,"Amsterdam, Netherlands",2012-09-16
5277,Best app for music. Even the free version has plenty of songs. Ads are a bit frequent.,4,male,"Rome, Italy",2012-05-19
5278,good,4,male,"Seattle, United States",2014-10-19
5279,it just unsubscribed me from premium and has debited me twice for this month and I'm about to pay again this month . why ?,4,male,"Valencia, Spain",2012-03-22
5280,The reason why I put it as ⭐⭐⭐⭐ is bc when u want to get to the next song it doesn't let u so you have to listen to the one that you hate or just dislike idk maybe for me it's like that than someone give me help 😭 but if it isn't than! FIX IT! 😠,4,male,"Cape Town, South Africa",2013-10-07
5281,"it gets stuck all the time , too much ads",4,male,"Prague, Czech Republic",2012-07-17
5282,Good,4,male,"Mombasa, Kenya",2013-11-28
5284,arjit singh...💟,4,male,"Phuket, Thailand",2013-08-22
5286,great music app but the widget does not change color like its supposed to,4,male,"Abuja, Nigeria",2013-12-09
5289,I don't know if it's my algorithm but live streaming ain't smooth lately.,4,male,"Munich, Germany",2012-05-20
5290,"overall good app, but they really didn't needed to put adds for us to buy premium, like the adds are literally about how adds interrupt your music. Like it kinda doesn't make sense. But overall very good app, good job👍.",4,male,"Frankfurt, Germany",2012-04-26
5291,yeah just put more things in the normal,4,male,"Dublin, Ireland",2012-06-20
5295,great platform with decent recommendations but you need premium to fully enjoy the app.,4,male,"Jacksonville, United States",2014-08-02
5298,"Poor service, cheap quality",4,male,"Kuala Lumpur, Malaysia",2013-07-13
5300,"App is great, but changing ""your library"" button for no reason is bruh. Just why",4,male,"Tripoli, Libya",2013-11-14
5303,So many ads.😤 . But quality is great.🫡,4,male,"Durban, South Africa",2014-01-02
5304,SO GUD LOVE IT,4,male,"Tunis, Tunisia",2014-05-26
5305,Splendid,4,male,"Guangzhou, China",2013-07-01
5306,The only problem is that if they could download also lyrics,4,male,"Phoenix, United States",2014-10-10
5308,good,4,male,"Abu Dhabi, United Arab Emirates",2013-04-01
5310,"Great music. Missing 5 stars only because some options like offline download are available only for the paid version. Then again one can't expect something free to be totally awesome. You want better, you pay for it",4,male,"Dar es Salaam, Tanzania",2014-06-20
5311,good 👍,4,male,"Abu Dhabi, United Arab Emirates",2012-12-13
5312,best,4,male,"Lagos, Nigeria",2013-12-13
5313,works great,4,male,"Milan, Italy",2012-08-23
5315,it's a really good music app . I have a premium subscription and the recommendations are amazing. And Please add AI DJ to India .,4,male,"Brussels, Belgium",2012-01-30
5316,How do I talk to your ai again?,4,male,"Vancouver, Canada",2014-11-26
5317,good,4,male,"Munich, Germany",2012-04-26
5318,"Good App But Sometimes When Want A Song For D Second Time, It Suggests To Convert To Pro Version.",4,male,"Busan, South Korea",2013-05-27
5319,am rating it four because of the ads otherwise it's the best app I recommend,4,male,"Madrid, Spain",2012-07-09
5320,Good,4,male,"Kampala, Uganda",2014-05-13
5323,super,4,male,"Johannesburg, South Africa",2014-02-09
5325,A lot of features have been removed and put into paid premium section.Worst music app .I'm changing for a new music platform 👎 joisavan is much better,4,male,"Los Angeles, United States",2014-11-10
5327,Besides repetitive ads great music collection,4,male,"Vienna, Austria",2012-05-26
5331,all over good but will be better if have option to download songs and can't listen offline,4,male,"Windhoek, Namibia",2014-02-18
5332,this app is nice but not plays music in queue,4,male,"New York, United States",2014-07-04
5336,many ads,4,male,"Rabat, Morocco",2014-02-28
5337,The app is quite amazing yet I'm concerned that I was overcharged and got no refund until today. Plus I got an offer to experience the app for 3 months for free but I was still charged after adhering to the offer.,4,male,"Phoenix, United States",2014-07-29
5339,"great app, love premium features and that I can have an account for each member of my family, even the kids. Don't like that podcasts do not play in the order I have sorted them in. if I sort reverse chronological then I want them to play in that order. I constantly need to stop then manually scroll to change to next podcast according to how I have sorted them as it always starts playing the previous episode I have already heard. Especially when I am in the car...",4,male,"Tel Aviv, Israel",2013-03-19
5340,great,4,male,"Jakarta, Indonesia",2013-02-08
5341,GOOD APP FOR SONGS PLAYING,4,male,"Bali, Indonesia",2012-11-20
5342,After this last update it closes eveytime you play a track and see the info of it.,4,male,"San Jose, United States",2014-08-19
5344,I've been trying to renew my subscription but for some days now it's not been working.,4,male,"Hanoi, Vietnam",2013-01-04
5346,overall it is a good music app. if you can add caller tunes on the app then it becomes super,4,male,"Seville, Spain",2011-12-09
5347,"The amount of adds are unbearable if you don't get premium, however the podcasts redeem this as ypu don't need premium and there are often an exclusive video element on spotify.",4,male,"Windhoek, Namibia",2014-05-26
5348,"I use Spotify every day, and now, the song will just pause on its own every few songs or so. This is really getting on my nerves, and it's only gotten worse in the last few months. PLEASE FIX THIS.",4,male,"Bangalore, India",2013-04-01
5349,excellent features. great music library. top quality sound as well. AI DJ is a vibe. Premium access for me is a little expensive but it could be worth it...,4,male,"Tokyo, Japan",2013-03-30
5350,love this app but one thing can be added which will make the app so better u can add like friend system in which when u add someone in ur friendlist then you can see what other person is hearing or u guys can listen at same time while sitting away from each other I would love this feature,4,male,"Dakar, Senegal",2013-10-22
5351,this is the best song app I love it,4,male,"Dallas, United States",2014-07-20
5354,👍🥇,4,male,"Valencia, Spain",2012-07-23
5355,before I have it a 3 because i hated the switch to premium. every single thing was premium. but i realised you can't switch to another music app. Spotify is just better at everything. so I was using cracked for a while then I just thought I'd get the student plan which is 60 per month and i think that's fair and reasonable. now am giving this a 4 star cause it's got some bugs and lags i hope they fix it soon. keep it on Spotify,4,male,"Tripoli, Libya",2013-10-27
5356,I like this app,4,male,"Lisbon, Portugal",2012-08-15
5358,"Spotify is the best app for listening music ,but it's bores me with advertisement",4,male,"Brussels, Belgium",2012-03-21
5363,Blank/loading on the library & sudden offline after this recent update.,4,male,"Warsaw, Poland",2012-07-24
5364,it plays music smoothly and I can get access to all different genres,4,male,"Phoenix, United States",2014-08-29
5365,"Spotify has always been known for how good it is and how it is the best music player ever, but the app appearance is a little outdated, so it would be a hundred times better if you would make a change to the appearance that would look satisfying. and appreciate it if you read my rating.",4,male,"Jerusalem, Israel",2013-05-06
5366,very good mostly,4,male,"Delhi, India",2013-03-08
5367,the only thing holding this app from getting 5 stars is their algorithm,4,male,"Zurich, Switzerland",2011-11-13
5368,wonderful,4,male,"Addis Ababa, Ethiopia",2014-06-12
5369,I think it's really good I just find the ads a bit annoying sometimes but I understand why there is ads,4,male,"Valencia, Spain",2011-11-18
