review,sentiment,Polaridad_Clustering,Topic_ID,Palabras_Clave,location,gender,date
this is very good for every song for me,positivo,positivo,0,"devices, choice, care, seamless, service, enjoyable, enjoy, cost","Rio de Janeiro, Brazil",female,2012-10-07
The selection for classic music is Outstanding. highly recommended for those that haven't used Spotify yet.,positivo,positivo,2,"podcasts, access, weekly, discover, bands, selection, affordable, obscure, clean, vast","Birmingham, United Kingdom",male,2009-04-05
one of the most favourite musical apps of mine.,positivo,positivo,5,"favourite, trouble, interface, reliable, plans, features, extensive, adfree, massive, time","Shenzhen, China",male,2010-06-08
Best music player app out there!!! I highly recommend even without a premium subscription!!!,positivo,positivo,3,"personalized, enjoyable, subscriber, recommendations, fast, playback, reliable, anytime, offline, podcasts","Casablanca, Morocco",male,2010-09-16
Recent update made it so my car stereo won't connect anymore.,positivo,positivo,1,"phone, catalog, update, keeps, account, time, complaints, playing, taste, price","Fortaleza, Brazil",male,2012-05-07
"pretty good but when I shut down my phone or restart it, all my downloaded music need re-download even tho they already are and they show has not downloaded if I dont re-download them, i also need to clear the memory so it doesn't use twice the space. But otherwise it's crazy good and I almost never stop using it.",positivo,positivo,1,"phone, catalog, update, keeps, account, time, complaints, playing, taste, price","Manila, Philippines",male,2009-12-28
"spotify lets me listen to music for free and recomends new artist, songs, and podcasts that i might find intrest in. spotify is by far the best music app",positivo,positivo,1,"phone, catalog, update, keeps, account, time, complaints, playing, taste, price","Dublin, Ireland",male,2009-01-20
"Easy listening and easy to use, love it.",positivo,positivo,0,"devices, choice, care, seamless, service, enjoyable, enjoy, cost","Berlin, Germany",male,2009-05-10
Brilliant app to find music you like but never heard before,positivo,positivo,0,"devices, choice, care, seamless, service, enjoyable, enjoy, cost","Houston, United States",male,2012-04-07
"I always use it, it's The best music app in my opinion",positivo,positivo,0,"devices, choice, care, seamless, service, enjoyable, enjoy, cost","Salvador, Brazil",female,2012-10-29
"So farthe free trial has been great. you can listen to what you want, make playlists, and it's easy to explore music. Edit: 05/2025 Highly recommended. my favorite music app",positivo,positivo,5,"favourite, trouble, interface, reliable, plans, features, extensive, adfree, massive, time","Lagos, Nigeria",male,2011-02-16
"playlists are better than all other competitors. Thank you, however the premium is a bit high. if u can reduce the amount it would be easy for all",positivo,positivo,4,"friends, useful, platform, student, ease, lover, catalogue, family","Budapest, Hungary",male,2009-02-21
Spotify is the only genius app I have ever experienced for online music.,positivo,positivo,3,"personalized, enjoyable, subscriber, recommendations, fast, playback, reliable, anytime, offline, podcasts","Monterrey, Mexico",male,2012-01-05
if u want a Playlist for studying this Is the app for u,positivo,positivo,0,"devices, choice, care, seamless, service, enjoyable, enjoy, cost","Abu Dhabi, United Arab Emirates",male,2010-05-10
"I love spotify, this is my favorite music app. I have had an account since maybe 2015, I love the updates such as full books for subscribers!! If you want some random music, you just click your spotify DJ. They're amazing, for real if you haven't given spotify a chance yet, you're missing out",positivo,positivo,1,"phone, catalog, update, keeps, account, time, complaints, playing, taste, price","Rio de Janeiro, Brazil",female,2013-01-16
This is great appication. All songs available appilaction,positivo,positivo,0,"devices, choice, care, seamless, service, enjoyable, enjoy, cost","Montreal, Canada",male,2012-04-14
